ClusterSize,diff
2,88.11156412
2,84.30201932
1,48.57506361
1,95.91836735
1,94.92385787
1,90.24390244
1,53.23129252
4,50.70643642
4,48.05207712
4,56.31197559
4,42.09744504
1,97.01492537
1,100
1,90.98537005
1,61.2972973
1,34.77384684
1,35.76190476
1,56.94444444
1,50
1,28.57142857
1,34.72222222
1,31.41843185
1,43.40619308
9,42.99145299
9,52.30263158
9,34.61538462
9,39.68253968
9,53.87640449
9,59.23913043
9,42.65480896
9,42.30769231
9,33.32732841
1,62.30401056
1,55.7967033
1,74.71153846
1,46.17763088
1,27.63876905
1,96
1,94.44444444
1,32.84007845
4,33.33333333
4,32.14285714
4,27.27272727
4,26.02739726
1,28.57142857
2,67.57905926
2,36.42857143
1,26.31578947
2,100
2,53.90756303
2,56.41025641
2,44.44444444
1,54.16666667
1,30.43478261
3,34.13533835
3,30.70279929
3,29.8101121
3,44.20833333
3,44.1426146
3,38.82548247
1,30.55555556
1,58.0566555
1,39.47232874
3,35.94724221
3,35.11130511
3,88.2852292
5,31.18979135
5,36.59657429
5,30.80375357
5,33.52593108
5,27.40740741
1,94.44444444
1,93.75
1,51.59036145
1,25.71428571
1,74.46033459
4,71.23287671
4,66.08818011
4,77.35849057
4,73.25581395
15,82.22222222
15,85.71428571
15,27.5862069
15,88.55072464
15,90.74074074
15,64.28571429
15,95.58823529
15,89.87341772
15,35.61643836
15,86.41975309
15,92.68292683
15,87.35632184
15,32.91139241
15,26.59574468
15,25.74257426
3,52.94117647
3,94.11764706
3,90.24390244
3,82.14285714
3,48
3,84
1,25.92592593
2,72.72727273
2,36.37770898
1,54.97474747
6,68.26981246
6,37.98076923
6,45.4532967
6,43.72051887
6,53.37763012
6,69.14045193
1,89.67790262
1,44.65860418
1,92.78542742
1,83.81262434
1,32.78688525
1,67.79661017
1,37.03703704
1,38.33333333
1,88.05970149
2,75.67567568
2,36.1347649
1,46.8
1,77.96610169
1,41.80457053
1,30.6122449
1,42.85714286
1,63.2173913
1,56.36363636
1,25.37313433
1,26.78571429
2,86.11111111
2,85.71428571
1,81.81818182
1,49.44444444
1,47.4969475
1,81.69014085
1,29.33333333
1,81.81818182
2,68.53932584
2,65.95744681
6,50
6,29.47368421
6,60.86956522
6,39.36170213
6,28.57142857
6,27.75974026
1,28.14009662
1,82.75862069
1,77.77777778
1,41.75824176
17,71.19407467
17,70.79433342
17,33.82352941
17,84.50704225
17,44.18604651
17,28.20512821
17,40.27777778
17,52.11267606
17,32.85714286
17,31.42857143
17,72.60273973
17,64.78873239
17,75
17,83.58208955
17,50.72463768
17,62.68656716
17,28.125
1,29.57746479
1,51.06382979
8,87.41461241
8,92.56198347
8,93.66197183
8,90.90909091
8,94.89051095
8,89.88868275
8,85.48340548
8,86.40776699
1,65.82532051
1,41.26984127
1,93.42570755
2,46.40151515
2,59.44055944
2,43.05555556
2,44.15584416
1,31.3253012
1,35.49107143
1,76.77655678
1,28.07017544
1,25.3164557
1,91.79025424
1,30.35153798
1,38.40121427
3,43.92059553
3,93.10344828
3,90.38461538
60,88.23529412
60,90.90909091
60,31.03448276
60,27.08333333
60,55.17241379
60,48.27586207
60,84.375
60,86.11111111
60,83.33333333
60,77.14285714
60,78.78787879
60,60
60,30.55555556
60,32.43243243
60,58.69565217
60,52.38095238
60,84.61538462
60,70.27027027
60,84.21052632
60,75.67567568
60,87.03703704
60,77.14285714
60,82.22222222
60,85.96491228
60,77.08333333
60,50
60,83.63636364
60,81.25
60,83.63636364
60,77.08333333
60,80.76923077
60,90.90909091
60,79.62962963
60,89.09090909
60,81.48148148
60,90.90909091
60,80
60,45.09803922
60,81.25
60,91.22807018
60,77.08333333
60,91.37931034
60,72.88135593
60,69.76744186
60,86.44067797
60,79.62962963
60,82.35294118
60,80
60,88.46153846
60,78.57142857
60,86.2745098
60,76
60,29.16666667
60,83.33333333
60,81.81818182
60,77.77777778
60,72.72727273
60,44.44444444
60,75
60,60
1,40.4375
2,31.08108108
2,41.46341463
2,44.82758621
2,36.92307692
1,35.24590164
1,93.75
1,84.08131952
1,60.18808777
1,79.8228969
1,26.08695652
2,40.91749175
2,38.95833333
1,82.04651163
2,70.37037037
2,69.72477064
2,91.42857143
2,88.91780525
1,30.94098884
2,28.28282828
2,47.22222222
4,84.44444444
4,79.41176471
4,29.03225806
4,30.76923077
2,60
2,31.88405797
2,90.76676748
2,90.90909091
2,72.47716056
2,59.66653939
1,73.68421053
1,77.58434548
1,26.86567164
2,91.06862232
2,90.2173913
1,94.84536082
2,97.43589744
2,91.68569254
